neuron,timestep
Brick-1.6,450
Brick-1.51,450
Brick-1.108,450
Brick-1.113,450
Brick-1.134,450
Brick-1.149,450
Brick-1.156,450
Brick-1.85,452
Brick-1.52,453
Brick-1.57,453
Brick-1.59,453
Brick-1.62,453
Brick-1.139,453
Brick-1.171,453
Brick-1.187,453
Brick-1.151,454
Brick-1.31,455
Brick-1.33,455
Brick-1.60,455
Brick-1.122,455
Brick-1.126,455
Brick-1.154,455
Brick-1.192,455
Brick-1.72,456
Brick-1.184,456
Brick-1.172,458
Brick-1.196,458
Brick-1.61,459
Brick-1.83,460
Brick-1.140,460
Brick-1.157,460
Brick-1.53,461
Brick-1.112,461
Brick-1.118,461
Brick-1.138,461
Brick-1.168,461
Brick-1.65,462
Brick-1.110,462
Brick-1.185,462
Brick-1.36,463
Brick-1.64,464
Brick-1.69,464
Brick-1.10,465
Brick-1.167,465
Brick-1.11,466
Brick-1.162,466
Brick-1.153,467
Brick-1.158,467
Brick-1.42,468
Brick-1.71,468
Brick-1.77,468
Brick-1.101,468
Brick-1.173,468
Brick-1.93,469
Brick-1.35,470
Brick-1.120,470
Brick-1.135,470
Brick-1.48,471
Brick-1.75,471
Brick-1.89,471
Brick-1.15,472
Brick-1.88,472
Brick-1.100,472
Brick-1.133,472
Brick-1.148,472
Brick-1.20,473
Brick-1.24,473
Brick-1.26,473
Brick-1.96,473
Brick-1.130,473
Brick-1.41,474
Brick-1.63,474
Brick-1.73,474
Brick-1.82,474
Brick-1.159,474
Brick-1.177,474
Brick-1.29,475
Brick-1.90,475
Brick-1.123,475
Brick-1.183,475
Brick-1.195,475
Brick-1.43,476
Brick-1.103,476
Brick-1.189,476
Brick-1.16,477
Brick-1.39,477
Brick-1.79,477
Brick-1.128,477
Brick-1.27,478
Brick-1.114,478
Brick-1.193,478
